,ID_STUDENT,STUDENT_NAME,GENDER,GRADE_NAME,ID_PROJECT,PROJECT_NAME,CREATION_DATE,EDUCATIONAL_CENTRE_NAME,CODIGO_INSTITUCIONAL_FOD,DIRECCION_REGIONAL,REGION_NAME,PROVINCIA,CANTON,DISTRITO,PRIM_O_SEC,IF_VALUE,ELSEIF_VALUE,ELSE_VALUE,WHILE_VALUE,FOR_VALUE,DO_WHILE,ABSTRACTION,PARALLELISM,DATA_REPRESENTATION,DEADCODE,MISNAMING,CYCLOMATIC,NUMBER_OF_METHODS,NUMBER_OF_CLASSES,ARITHMETIC,LOGICAL,COMPARISON,AVG_CYCLO,CONTROL_FLOW,AVG_METHODS_BY_CLASS,CT_SCORE,DATE,YEAR_CREATION,MONTH_CREATION,DAY_CREATION
0,297146,Estudiante_7,Hombre,Quinto Grado,6,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,6,0,0,5,1,0,2,2,0,0,0,32,19,5,0,0,1,1.6842105263157894,2.0,3.8,6.0,2018-09-19,2018,9,19
1,297147,Estudiante_11,Hombre,Quinto Grado,8,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,6,0,0,5,1,0,2,2,0,1,0,32,19,5,0,0,1,1.6842105263157894,2.0,3.8,6.0,2018-09-19,2018,9,19
2,297148,Estudiante_15,Hombre,Quinto Grado,10,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,6,0,0,6,1,0,2,2,0,1,0,39,25,5,0,0,1,1.56,2.0,5.0,6.0,2018-09-19,2018,9,19
3,297149,Estudiante_19,Hombre,Quinto Grado,12,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,6,0,0,5,1,0,2,2,2,1,0,37,24,5,0,0,1,1.5416666666666667,2.0,4.8,8.0,2018-09-19,2018,9,19
4,304984,Estudiante_24,Hombre,Quinto Grado,14,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,2,0,0,0,2,2,1,4,2,1,1,0,0,2.0,2.0,2.0,4.0,2018-09-19,2018,9,19
5,60141,Estudiante_28,Mujer,Quinto Grado,16,Aventuras en un mundo Maker,2019-06-26,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,9,0,0,7,0,0,2,2,2,0,0,42,21,5,0,2,6,2.0,2.0,4.2,8.0,2019-06-26,2019,6,26
6,60165,Estudiante_32,Hombre,Cuarto Grado,20,Nuevas oportunidades de la computación física,2019-06-26,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,2,0,0,0,0,0,0,6,4,4,0,0,0,1.5,2.0,1.0,2.0,2019-06-26,2019,6,26
7,95189,Estudiante_42,Mujer,Quinto Grado,22,Aventuras en un mundo Maker,2019-06-26,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,4,0,0,5,1,0,2,2,0,0,0,26,15,5,0,0,1,1.7333333333333334,2.0,3.0,6.0,2019-06-26,2019,6,26
8,186738,Estudiante_48,Mujer,Quinto Grado,26,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,0,0,2,2,2,0,0,8,8,4,0,0,0,1.0,1.0,2.0,7.0,2018-09-19,2018,9,19
9,207561,Estudiante_52,Mujer,Cuarto Grado,28,Nuevas oportunidades de la computación física,2019-06-26,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,1,0,0,0,0,0,0,4,3,3,0,0,0,1.3333333333333333,2.0,1.0,2.0,2019-06-26,2019,6,26
10,207562,Estudiante_56,Mujer,Cuarto Grado,32,Nuevas oportunidades de la computación física,2019-06-26,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,3,0,0,0,0,0,0,7,4,4,0,0,0,1.75,2.0,1.0,2.0,2019-06-26,2019,6,26
11,207566,Estudiante_64,Mujer,Quinto Grado,33,Aventuras en un mundo Maker,2018-09-19,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,6,0,0,5,1,0,2,2,0,0,0,35,22,5,0,0,1,1.5909090909090908,2.0,4.4,6.0,2018-09-19,2018,9,19
12,207571,Estudiante_66,Hombre,Quinto Grado,35,Aventuras en un mundo Maker,2019-07-16,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,4,0,0,2,1,0,2,2,0,0,0,25,17,5,0,0,1,1.4705882352941178,2.0,3.4,6.0,2019-07-16,2019,7,16
13,284499,Estudiante_70,Hombre,Cuarto Grado,37,Nuevas oportunidades de la computación física,2019-12-10,ENRIQUE STRACHAN,1728,Heredia,Urbano,Heredia,Barva,San José Montaña,Primaria,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,1.0,1.0,1.0,1.0,2019-12-10,2019,12,10
